Variable,MAPE,Promedio_Predicho,Promedio_Historico,Min_Predicho,Max_Predicho
Total,19.72%,"720,302","897,266","672,457","904,358"
Costa,22.96%,"264,860","343,783","242,404","340,746"
Interior,18.89%,"448,914","553,483","410,309","526,517"
Industrial,28.62%,"184,336","258,253","181,928","209,438"
Refineria,9.12%,"145,789","133,598","125,983","166,950"
Petrolero,18.71%,"26,324","22,175","20,293","32,602"
GeneracionTermica,46.63%,"107,320","201,080","99,928","170,441"
Residencial,1.00%,"173,572","175,324","136,862","217,264"
Comercial,26.19%,"51,994","41,204","18,634","69,778"
GNVC,18.62%,"49,542","60,874","38,048","64,424"
Compresora,8.99%,"4,329","4,757","2,599","6,451"
